Event	ID	Name			Wwise Object Path	Notes
	152581	StartLevelConfig			\Default Work Unit\New Virtual Folder\StartLevelConfig	
	35730698	Play_SFX_Wpn_Gatling_Shoot			\Default Work Unit\SFX_Car\Play_SFX_Wpn_Gatling_Shoot	
	177170041	Set_State_Indoor			\Default Work Unit\States\Set_State_Indoor	
	434512859	Set_State_ST_SlowMo			\Default Work Unit\States\Set_State_ST_SlowMo	
	504240361	Set_State_PauseOff			\Default Work Unit\States\Set_State_PauseOff	
	624714026	Play_UI_Weapons			\Default Work Unit\UI\Play_UI_Weapons	
	853193096	Play_SFX_Car_Drift			\Default Work Unit\SFX_Car\Play_SFX_Car_Drift	
	878452949	Play_UI_Equipment			\Default Work Unit\UI\Play_UI_Equipment	
	1020321262	Car_Engine			\Default Work Unit\New Virtual Folder\Car_Engine	
	1331039088	Play_SFX_Turret_Drop			\Default Work Unit\Play_SFX_Turret_Drop	
	1472165566	Play_Music_BabyPark			\Default Work Unit\Play_Music_BabyPark	
	1501458217	Play_Amb_BabyPark			\Default Work Unit\AMB\Play_Amb_BabyPark	
	1569993949	Play_SFX_Trap_Mine_Explode			\Default Work Unit\SFX_Car\Play_SFX_Trap_Mine_Explode	
	1576113860	Play_SFX_Wpn_Gatling_Summon			\Default Work Unit\SFX_Car\Play_SFX_Wpn_Gatling_Summon	
	1857540444	Stop_SFX_Monster_Run			\Default Work Unit\Stop_SFX_Monster_Run	
	1868201586	Play_SFX_Wpn_FlameThrower_Summon			\Default Work Unit\SFX_Car\Play_SFX_Wpn_FlameThrower_Summon	
	1871393852	Set_State_ST_Build			\Default Work Unit\States\Set_State_ST_Build	
	1925799616	Play_Amb_Babypark_Police_Dry			\Default Work Unit\AMB\Play_Amb_Babypark_Police_Dry	
	1944695683	Play_Amb_Babypark_Police_Wet			\Default Work Unit\AMB\Play_Amb_Babypark_Police_Wet	
	2201148061	Set_State_PauseOn			\Default Work Unit\States\Set_State_PauseOn	
	2207983986	Play_Amb_Garage			\Default Work Unit\AMB\Play_Amb_Garage	
	2226512720	Play_UI_Babypark_Checkpoint			\Default Work Unit\UI\Play_UI_Babypark_Checkpoint	
	2441311662	Play_UI_Build_Error			\Default Work Unit\Play_UI_Build_Error	
	2468732901	Play_Music_Garage			\Default Work Unit\New Virtual Folder\Play_Music_Garage	
	2528789258	Play_SFX_Monster_Run			\Default Work Unit\Play_SFX_Monster_Run	
	2630068541	Set_State_Normal			\Default Work Unit\States\Set_State_Normal	
	2880876640	Play_SFX_Car_Nitro_Refill			\Default Work Unit\SFX_Car\Play_SFX_Car_Nitro_Refill	
	2883580317	Play_SFX_Monsters_Run			\Default Work Unit\SFX_Car\Play_SFX_Monsters_Run	
	3022734157	Play_UI_Confirm			\Default Work Unit\UI\Play_UI_Confirm	
	3091697021	Set_State_ST_Normal			\Default Work Unit\States\Set_State_ST_Normal	
	3092587493	Pause			\Default Work Unit\New Virtual Folder\Pause	
	3237579210	Stop_SFX_Car_Drift			\Default Work Unit\SFX_Car\Stop_SFX_Car_Drift	
	3258270161	Transmission			\Default Work Unit\New Virtual Folder\Transmission	
	3345503513	Play_SFX_Car_Nitro			\Default Work Unit\SFX_Car\Play_SFX_Car_Nitro	
	3362185276	Play_SFX_Wpn_FlameThrower_Shoot			\Default Work Unit\SFX_Car\Play_SFX_Wpn_FlameThrower_Shoot	
	3364113413	Play_SFX_Car_Drift_Start			\Default Work Unit\SFX_Car\Play_SFX_Car_Drift_Start	
	3417507024	Play_SFX_Monsters_Die			\Default Work Unit\SFX_Car\Play_SFX_Monsters_Die	
	3624587671	Play_UI_Pause			\Default Work Unit\UI\Play_UI_Pause	
	3626629520	Play_UI_Movement			\Default Work Unit\UI\Play_UI_Movement	
	4185453606	Play_SFX_Trap_Mine_Trigger			\Default Work Unit\SFX_Car\Play_SFX_Trap_Mine_Trigger	
	4265925356	Play_SFX_Trap_Mine_Idle			\Default Work Unit\SFX_Car\Play_SFX_Trap_Mine_Idle	

State Group	ID	Name			Wwise Object Path	Notes
	3030367241	ST_Car_View			\Default Work Unit\ST_Car_View	
	3557541768	ST_SlowMo			\Default Work Unit\ST_SlowMo	
	4054796535	ST_Pause			\Default Work Unit\ST_Pause	

State	ID	Name	State Group			Notes
	0	None	ST_Car_View			
	340398852	Indoor	ST_Car_View			
	1160234136	Normal	ST_Car_View			
	0	None	ST_SlowMo			
	2370781097	ST_Build	ST_SlowMo			
	3042819342	ST_Normal	ST_SlowMo			
	3557541768	ST_SlowMo	ST_SlowMo			
	0	None	ST_Pause			
	80751710	PauseOn	ST_Pause			
	3921005316	PauseOff	ST_Pause			

Custom State	ID	Name	State Group	Owner		Notes
	362735170	PauseOn	ST_Pause	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Car\SFX_Car_Engine		
	395871982	Indoor	ST_Car_View	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Car\SFX_Car_Engine		
	732858217	ST_SlowMo	ST_SlowMo	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Car\SFX_Car_Drift		

Game Parameter	ID	Name			Wwise Object Path	Notes
	3774151474	RTPC_RPM			\Default Work Unit\Car\RTPC_RPM	

Modulator Time	ID	Name			Wwise Object Path	Notes
	422287908	Modulator Time (Custom)				
	837975695	Modulator Time (Custom)				

Effect plug-ins	ID	Name	Type				Notes
	1182561210	Cut_3dB_10KHz	Wwise Parametric EQ			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	288951254	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Car\SFX_Car_Engine\SFX_Car_Engine_Silence\Wwise Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	22608017	Music_BabyPark_Intro	E:\GitHub\REKT\REKT_WwiseProject\.cache\Windows\SFX\20181219_SDLF_REKT2_Intro_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\Music_BabyPark\Music_BabyPark_Intro		6144068
	35856289	SFX_Monster_Run_Asphalt_28	E:\GitHub\REKT\REKT_WwiseProject\.cache\Windows\SFX\SFX_Monster_Run_Asphalt_28_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Monster\SFX_Monster_Run\SFX_Monster_Run_Asphalt\SFX_Monster_Run_Asphalt_28		6514
	50865050	SFX_Monster_Run_Asphalt_25	E:\GitHub\REKT\REKT_WwiseProject\.cache\Windows\SFX\SFX_Monster_Run_Asphalt_25_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Monster\SFX_Monster_Run\SFX_Monster_Run_Asphalt\SFX_Monster_Run_Asphalt_25		6514
	59304707	SFX_Monster_Run_Asphalt_6	E:\GitHub\REKT\REKT_WwiseProject\.cache\Windows\SFX\SFX_Monster_Run_Asphalt_6_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Monster\SFX_Monster_Run\SFX_Monster_Run_Asphalt\SFX_Monster_Run_Asphalt_6		6512
	81053282	SFX_Monster_Run_Asphalt_36	E:\GitHub\REKT\REKT_WwiseProject\.cache\Windows\SFX\SFX_Monster_Run_Asphalt_36_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Monster\SFX_Monster_Run\SFX_Monster_Run_Asphalt\SFX_Monster_Run_Asphalt_36		6512
	81337290	SFX_Monster_Run_Asphalt_38	E:\GitHub\REKT\REKT_WwiseProject\.cache\Windows\SFX\SFX_Monster_Run_Asphalt_38_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Monster\SFX_Monster_Run\SFX_Monster_Run_Asphalt\SFX_Monster_Run_Asphalt_38		6512
	90233645	UI_Equipment	E:\GitHub\REKT\REKT_WwiseProject\.cache\Windows\SFX\AMB_COURSE_SELECTEQUIP_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\UI_Equipment		240116
	116157522	SFX_Monster_Run_Asphalt_31	E:\GitHub\REKT\REKT_WwiseProject\.cache\Windows\SFX\SFX_Monster_Run_Asphalt_31_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Monster\SFX_Monster_Run\SFX_Monster_Run_Asphalt\SFX_Monster_Run_Asphalt_31		6514
	120863485	SFX_Monster_Run_Asphalt_39	E:\GitHub\REKT\REKT_WwiseProject\.cache\Windows\SFX\SFX_Monster_Run_Asphalt_39_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Monster\SFX_Monster_Run\SFX_Monster_Run_Asphalt\SFX_Monster_Run_Asphalt_39		6512
	127778559	SFX_Monster_Run_Asphalt_33	E:\GitHub\REKT\REKT_WwiseProject\.cache\Windows\SFX\SFX_Monster_Run_Asphalt_33_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Monster\SFX_Monster_Run\SFX_Monster_Run_Asphalt\SFX_Monster_Run_Asphalt_33		6512
	138180119	SFX_Car_Tire_Drift_Loop-09	E:\GitHub\REKT\REKT_WwiseProject\.cache\Windows\SFX\SFX_Car_Tire_Drift_Loop-09_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Car\SFX_Car_Drift\SFX_Car_Drift_Loop\SFX_Car_Tire_Drift_Loop-09		26720
	151755535	SFX_Car_Tire_Drift_Loop-01	E:\GitHub\REKT\REKT_WwiseProject\.cache\Windows\SFX\SFX_Car_Tire_Drift_Loop-01_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Car\SFX_Car_Drift\SFX_Car_Drift_Loop\SFX_Car_Tire_Drift_Loop-01		33384
	159642181	SFX_Monster_Run_Asphalt_4	E:\GitHub\REKT\REKT_WwiseProject\.cache\Windows\SFX\SFX_Monster_Run_Asphalt_4_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Monster\SFX_Monster_Run\SFX_Monster_Run_Asphalt\SFX_Monster_Run_Asphalt_4		6512
	168048995	SFX_SlowMo	E:\GitHub\REKT\REKT_WwiseProject\.cache\Windows\SFX\SFX_SlowMo-02_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_SlowMo		165704
	174565045	SFX_Monster_Run_Asphalt_32	E:\GitHub\REKT\REKT_WwiseProject\.cache\Windows\SFX\SFX_Monster_Run_Asphalt_32_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Monster\SFX_Monster_Run\SFX_Monster_Run_Asphalt\SFX_Monster_Run_Asphalt_32		6512
